RANK	NAME	INSTITUTION	H-INDEX	CITATIONS
1	Sigmund Freud	University of Vienna	247	356815
2	Graham Colditz	Washington University in St. Louis	245	210324
3	Eugene Braunwald	Brigham and Women’s Hospital and Harvard Medical School 	232	246889
4	Michel Foucault	Collège de France	219	513435
5	Ronald C Kessler	Harvard University	212	198103
6	Pierre Bourdieu	Centre de Sociologie Européenne Collège de France	210	374455
7	Robert Langer	Massachusetts Institute of Technology MIT	204	160036
8	Richard A Flavell	Yale University	195	141607
9	Eric Topol	Scripps Research Institute	189	154185
10	A S Fauci	National Institutes of Health NIH	186	142480
11	T W Robbins	University of Cambridge	186	103837
12	Peter Barnes	Imperial College London	185	148477
13	Michael Graetzel	Ecole Polytechnique Fédérale de Lausanne	182	145263
14	Edward Witten	Institute for Advanced Study in Princeton	180	162179
15	Chris Frith	University College London	179	124325
16	Richard Frackowiak	University of Lausanne	179	118844
17	Karl Friston	University College London	176	132598
18	Matthias Mann	Max Planck Gesellschaft MPG	175	139642
19	Frank B Hu	Harvard University	172	110192
20	Younan Xia	Georgia Institute of Technology	169	110512
21	Mark P Mattson	National Institutes of Health NIH	169	101951
22	Guido Kroemer	INSERM	168	120018
23	Eric Rimm	Harvard University	167	99817
24	Amartya Sen	Harvard University	165	202141
25	Joseph Schlessinger	Yale University	164	103745
26	Daniel R Weinberger	Lieber Institute for Brain Development	162	97947
27	Douglas G Altman	Oxford University	160	191834
28	Jacques Derrida	École des Hautes Études en Sciences Sociales de Paris EHESS	160	157247
29	Alan Heeger	University of California Santa Barbara	160	136131
30	Eugene Koonin	National Institutes of Health NIH	160	109942
31	Stephen V Faraone	SUNY Upstate Medical University	160	91909
32	Zhong Lin Wang	Georgia Institute of Technology	159	114664
33	George P Chrousos	University of Athens	157	97838
34	Dennis Charney	icahn School of Medicine at Mount Sinai	156	90092
36	Adrian L Harris	University of Oxford	155	95657
35	Herbert Simon	Carnegie Mellon University	154	240486
37	David J Hunter	Harvard University	154	95365
38	Peer Bork	European Molecular Biology Laboratory	152	118182
39	Yusuke Nakamura	University of Chicago; University of Tokyo; RIKEN; University of Utah	152	117201
40	Alan Evans	McGill University	152	85955
41	Diederick E Grobbee	University Medical Center Utrecht	151	100174
42	Karl Marx	Universities of Bonn Berlin and Jena	150	191855
43	H Eugene Stanley	Boston University	150	113560
44	Raymond J Dolan	University College London	150	89263
45	Adi Gazdar	UT Southwestern Medical Center	149	89838
46	Alberto Mantovani	Istituto Clinico Humanitas Università degli Studi di Milano	149	89715
47	Krzysztof Matyjaszewski	Carnegie Mellon University	148	87408
48	Jean Frechet	King Abdullah University of Science and Technology	147	82473
49	Napoleone Ferrara	University of California San Diego	146	116209
50	Robert M May	Oxford University	146	104854
51	Steven R Cummings	California Pacific Medical Center Research Institute	146	91725
52	Anil K Jain	Michigan State University	144	116717
53	Mildred S Dresselhaus	Massachusetts Institute of Technology MIT	144	113836
54	Michael Phelps	University of California Los Angeles	144	80537
55	Simon D M White	Max Planck Gesellschaft MPG	143	103190
56	Terrie E Moffitt	Duke University	143	80441
57	Robert M Strieter	Novartis Institutes for Biomedical Research	143	66384
58	Robert Sternberg	Cornell University	142	86869
59	Chuanrong Zhang	University of Connecticut	142	83764
60	Hongjie Dai	Stanford University	141	115089
61	Thomas Doherty	University of Glasgow	141	100464
62	Lex Bouter	VU University Amsterdam	141	65406
63	Anders Björklund	Lund University	141	59271
64	Joey Huston	Michigan State University	140	136755
65	Lawrence Summers	Harvard University	140	87601
66	Yiguo Zhang	Chongqing University	139	131677
67	James J Heckman	University of Chicago	139	109021
68	K Barry Sharpless	Scripps Research Institute	139	98318
69	Pekka Sinervo	University of Toronto	139	90875
70	Russel J Reiter	University of Texas Health Science Center San Antonio	139	81229
71	Avshalom Caspi	Duke University	139	71056
72	Patricia Goldman Rakic	Yale University	139	64635
73	Yuh Nung Jan	University of California San Francisco	139	56640
74	Marcus E Raichle	Washington University in St. Louis	138	88360
75	Dennis W Dickson	Mayo Clinic	138	76552
76	Stanley Falkow	Stanford University	138	65860
77	G Remuzzi	Istituto di Ricerche Farmacologiche Mario Negri 	137	84230
78	Daniela Bortoletto	University of Oxford	137	83474
79	Eugene C Butcher	Stanford University	137	63710
80	Lewis L Lanier	University of California San Francisco	137	61696
81	Paul R Krugman	Princeton University	136	142832
82	Donald Truhlar	University of Minnesota	136	92171
83	Ad Bax	National Institutes of Health NIH	136	89380
84	Richard S Ellis	California Institute of Technology	136	80753
85	Lily Jan	University of California San Francisco	136	52671
86	James F Sallis	University of California San Diego	135	88903
87	Giovanni Busetto	Università di Padova	135	69544
88	Alan Baddeley	University of York	134	122204
89	Douglas Easton	University of Cambridge	134	79270
90	Richard Young	Massachusetts Institute of Technology MIT	134	70623
91	John Rothwell	University College London	134	64551
92	Geoffrey Burnstock	University College London	133	89939
93	Simon Baron Cohen	University of Cambridge	133	88340
94	Chad Mirkin	Northwestern University	133	85289
95	Andreas Warburton	McGill University	133	77956
96	Kai Simons	Max Planck Gesellschaft MPG	133	73615
97	Giorgio Trinchieri	National Institutes of Health NIH	133	67574
98	John McMurray	University of Glasgow	132	91631
99	Stephen R Forrest	University of Michigan	132	81962
100	Ferenc Jolesz	Brigham and Women's Hospital Harvard Medical School	132	53416
101	Richard A Posner	University of Chicago	131	90512
102	David Tilman	University of Minnesota	131	84038
103	Roy Baumeister	Florida State University	131	79979
104	Jean Pierre Changeux	Pasteur Institute	131	70260
105	Jeffrey S Flier	Harvard University	131	69470
106	Patrizia Azzi	Istituto Nazionale di Fisica Nucleare INFN	131	67264
107	Martin Blaser	New York University School of Medicine	131	67137
108	H Erich Wichmann	Helmholtz Zentrum München LMU München	131	65274
109	Ted M Dawson	Johns Hopkins University	131	62654
110	Derek Lovley	University of Massachusetts Amherst	131	57833
111	Carl Bromberg	Michigan State University	130	80125
112	Robert Post	Grounded Theory Institute 	130	62681
113	Michael VonKorff	Group Health Research Institute	130	62074
114	Richard Lipton	Albert Einstein College of Medicine	130	61349
115	Alan Fersht	University of Cambridge	130	61024
116	Kenneth M Yamada	National Institutes of Health NIH	130	60118
117	Antonietti Markus	Max Planck Gesellschaft MPG	130	54177
118	Emelia J Benjamin	Boston University	129	85138
119	Michael Tomasello	Max Planck Gesellschaft MPG	129	67376
120	Richard J Davidson	University of Wisconsin Madison	129	63914
121	Fraser Stoddart	Northwestern University	128	67999
122	John Morley	Saint Louis University	128	63764
123	Vishva Dixit	Genentech	127	75653
124	Nicholas A Peppas	University of Texas at Austin	127	68965
125	Giorgio Chiarelli	Istituto Nazionale di Fisica Nucleare INFN	127	61813
126	Michael P Lisanti	University of Manchester	127	56662
127	John R Anderson	Carnegie Mellon University	126	106453
128	Paul Slovic	University of Oregon	126	105327
129	Michael E Greenberg	Harvard University	126	85015
130	Dan Littman	New York University	126	65849
131	Jerrold Olefsky	University of California San Diego	126	58559
132	Edward T Bullmore	University of Cambridge	126	53847
133	Jiawei Han	University of Illinois at Urbana-Champaign	125	100314
134	Terrence Sejnowski	Francis Crick Institute; Salk Institute; University of California San Diego	125	83307
135	Daniel L Schacter	Harvard University	125	63529
136	Jeanne Brooks Gunn	Columbia University	125	61753
137	Michael A Moskowitz	Harvard Medical School	125	57657
138	Edward Bullmore	University of Cambridge	125	53540
139	Richard M Ryan	University of Rochester	124	122070
140	Stephen Schaffner	Broad Institute Harvard MIT	124	91653
141	Scott Shenker	University of California Berkeley	124	88150
143	Robert Gardner	University of Chicago	124	76903
144	Mark Gerstein	Yale University	124	68655
145	Cass Sunstein	Harvard University	124	68631
146	C K Glass	University of California San Diego	124	66512
147	John Laragh	Cornell University	124	63639
148	Nicola Turini	Universitat degli Studi di Siena	124	55832
149	Martin Raff	University College London	124	54699
150	Alessandro Sette	 	124	48369
142	Andrei Shleifer	Harvard University	123	182602
151	Philip Kotler	Northwestern University	123	138684
152	Didier Raoult	Aix Marseille Université	123	76672
153	Joseph LeDoux	New York University	123	70383
154	Gabriel Nunez	University of Michigan	123	66461
155	Paul M Vanhoutte	University of Hong Kong	123	63968
156	Herbert W Marsh	Australian Catholic University; Oxford University	123	61115
157	James Tiedje	Michigan State University	123	59326
158	Robert Malenka	Stanford University	123	55350
159	Tomas Ganz	University of California Los Angeles	123	52164
160	Alvaro Pascual Leone	Harvard University	123	51031
161	Francis V Chisari	Scripps Research Institute	123	48104
162	Theodor Adorno	Goethe Universität Frankfurt am Main	122	102210
163	D Diener	University of Illinois at Urbana-Champaign University of Washington	122	96407
164	Paul Costa	Duke University	122	81929
165	Chris Sander	Memorial Sloan Kettering Cancer Center	122	81267
166	Steven G Louie	University of California Berkeley	122	77473
167	Klaus Schulten	University of Illinois at Urbana-Champaign	122	74484
168	Tim D Spector	King's College London	122	59663
169	Thomas C Quinn	Johns Hopkins University	122	59642
170	Clifford Woolf	Boston Children's Hopsital	122	57834
